pvm	gt	yt	pttc	bd	sd	md	seed	lty
15	50	10	10	50	10	100	1	True
15	50	10	10	50	10	100	2	True
15	50	10	10	50	10	100	3	True
15	50	10	15	50	10	100	1	True
15	50	10	15	50	10	100	2	True
15	50	10	15	50	10	100	3	True
15	50	10	20	50	10	100	1	True
15	50	10	20	50	10	100	2	True
15	50	10	20	50	10	100	3	True
15	50	10	25	50	10	100	1	True
15	50	10	25	50	10	100	2	True
15	50	10	25	50	10	100	3	True
15	50	10	30	50	10	100	1	True
15	50	10	30	50	10	100	2	True
15	50	10	30	50	10	100	3	True
15	50	10	35	50	10	100	1	True
15	50	10	35	50	10	100	2	True
15	50	10	35	50	10	100	3	True
15	50	10	40	50	10	100	3	True
15	50	10	40	50	10	100	3	True
15	50	10	40	50	10	100	3	True
15	50	10	45	50	10	100	3	True
15	50	10	45	50	10	100	3	True
15	50	10	45	50	10	100	3	True
15	50	10	50	50	10	100	3	True
15	50	10	50	50	10	100	3	True
15	50	10	50	50	10	100	3	True
15	50	10	55	50	10	100	3	True
15	50	10	55	50	10	100	3	True
15	50	10	55	50	10	100	3	True
15	50	10	60	50	10	100	3	True
15	50	10	60	50	10	100	3	True
15	50	10	60	50	10	100	3	True
